Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,snapshot_date
CUS_0x1037,15989.085,1086.42375,5,4,2,4,"Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan",13,15,0.5,3,Good,665.82,40.69769935,19 Years and 9 Months,No,33.79702063,80.46523951,Low_spent_Small_value_payments,284.3801149,1/1/2023
CUS_0x1038,129473.16,10959.43,3,4,10,3,"Payday Loan, Payday Loan, and Home Equity Loan",28,13,8.61,10,Standard,568.21,34.08931802,20 Years and 0 Months,Yes,255.327905,1088.27145,Low_spent_Medium_value_payments,32.34364545,1/10/2024
CUS_0x103e,98690.8,8262.233333,4,6,9,1_,Student Loan,6,17,10.76,4,Good,706.96,26.86066346,26 Years and 11 Months,No,55.00440757,913.4813187,Low_spent_Small_value_payments,147.7376071,1/12/2024
CUS_0x1041,8978.11,894.1758333,8,8,30,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan",50,17,18.48,10,Bad,4913.15,37.74656726,10 Years and 5 Months,Yes,57.67965791,43.56585815,High_spent_Small_value_payments,248.1720673,1/11/2023
CUS_0x1044,33441.59,2748.799167,2,4,1,0,,1,4,9.58,5,_,154.96,35.98410854,31 Years and 11 Months,No,0,229.5322607,Low_spent_Small_value_payments,335.347656,1/6/2023
CUS_0x1048,42387.54,3680.295,3,7,26,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",9,8,10.34,7,Standard,1835.67,28.75306001,10 Years and 0 Months,Yes,225.883369,133.5133623,High_spent_Small_value_payments,268.6327687,1/2/2024
CUS_0x104a,14981.39,1461.449167,2,7,5,4,"Mortgage Loan, Auto Loan, Not Specified, and Payday Loan",5,6,0.63,4,Good,1122.46,39.64164182,32 Years and 3 Months,No,38.11596752,164.8891815,Low_spent_Small_value_payments,233.1397677,1/12/2023
CUS_0x104e,19180.87,1688.405833,8,4,18,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,9.32,6,Standard,1127.57,29.46533772,25 Years and 2 Months,No,57.36421101,107.9832273,High_spent_Small_value_payments,263.4931451,1/6/2023
CUS_0x104f,11336.835,992.73625,4,6,14,6,"Auto Loan, Payday Loan, Student Loan, Auto Loan, Auto Loan, and Personal Loan",30,19,16.44,7,_,177.98,37.7174566,14 Years and 10 Months,NM,35.56273086,133.7973501,Low_spent_Small_value_payments,219.913544,1/10/2024
CUS_0x1051,35022.22,2859.518333,3,5,4,1,Student Loan,6,11,_,5,Good,1000.44,25.39023215,28 Years and 6 Months,No,21.21457645,259.3451134,Low_spent_Small_value_payments,295.3921434,1/1/2024
CUS_0x1056,16053.86,1196.821667,8,6,24,5,"Student Loan, Student Loan, Not Specified, Personal Loan, and Debt Consolidation Loan",27,18,0.83,12,Bad,2107.76,36.85466927,16 Years and 2 Months,Yes,44.86029054,154.068624,Low_spent_Small_value_payments,210.7532521,1/4/2023
CUS_0x1057,86617.16,7250.096667,8,4,6,3,"Auto Loan, Student Loan, and Payday Loan",16,21,7.26,4,Standard,718.53,35.55554011,24 Years and 11 Months,No,141.3820546,976.1638751,!@9#%8,636.4224715,1/9/2023
CUS_0x105b,34428.21,2289.5937,2,4,8,0,,8,11,8.51,0,_,180.7,35.13053991,27 Years and 6 Months,No,285.4237997,61.13170395,!@9#%8,446.370046,1/11/2023
CUS_0x105c,127617.6,10596.8,0,4,5,3,"Not Specified, Mortgage Loan, and Payday Loan",3,6,12.22,0,Good,542.91,39.87736764,24 Years and 4 Months,No,211.054606,__10000__,High_spent_Medium_value_payments,861.6006704,1/6/2023
CUS_0x1063,128698.76,10628.89667,7,5,10,4,"Personal Loan, Mortgage Loan, Payday Loan, and Debt Consolidation Loan",8,14,10.67,12,_,583.11,28.44037043,16 Years and 11 Months,Yes,251.6127821,136.3149548,High_spent_Large_value_payments,914.9619298,1/12/2023
CUS_0x1069,58637.34,4799.445,4,6,10,119,"Personal Loan, Auto Loan, and Not Specified",9,17,12.56,5,Standard,208.8,25.23314363,30 Years and 8 Months,Yes,139.8850134,165.2106129,High_spent_Small_value_payments,434.8488737,1/1/2023
CUS_0x106f,134035.08,11102.59,0,5,10,2,"Home Equity Loan, and Mortgage Loan",6,7,5.32,8,Good,767.91,31.12893782,24 Years and 11 Months,No,143.483732,1075.33851,Low_spent_Medium_value_payments,171.4367576,1/8/2023
CUS_0x1075,24709.33,1933.468718,5,5,6,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",27,11,7,1497,_,413.18,32.76125199,17 Years and 10 Months,No,196.0271616,120.5587399,Low_spent_Small_value_payments,334.6672974,1/5/2024
CUS_0x107c,49718.55_,4179.2125,7,10,27,6_,"Payday Loan, Mortgage Loan, Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",27,17,10.5,7,Bad,1920.25,30.10963834,14 Years and 0 Months,Yes,231.9567806,430.8839387,Low_spent_Small_value_payments,45.08053062,1/11/2023
CUS_0x107e,75095.91,6269.9925,5,6,15,6,"Personal Loan, Payday Loan, Personal Loan, Student Loan, Home Equity Loan, and Payday Loan",9,10,20.53,8,Standard,989.71,24.21913739,12 Years and 0 Months,Yes,78446,__10000__,Low_spent_Medium_value_payments,234.0665603,1/11/2024
CUS_0x1087,42153.13,3377.760833,5,4,10,3,"Payday Loan, Not Specified, and Payday Loan",10,9,4.81,7,Good,1027.64,26.34447695,28 Years and 5 Months,No,79.29961146,80.6249024,High_spent_Small_value_payments,437.8515695,1/9/2024
CUS_0x108a,36982.36,2554.813823,7,9,21,9,"Student Loan, Student Loan, Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, Student Loan, and Personal Loan",15,15,24.61,15,_,4882.12,32.00299359,7 Years and 9 Months,Yes,454.4195521,275.8074536,Low_spent_Medium_value_payments,84.70883763,1/5/2023
CUS_0x1096,12931.56,1348.63,4,4,9,3,"Not Specified, Debt Consolidation Loan, and Home Equity Loan",18,20,18.51,3,Standard,752.86,27.70974959,21 Years and 4 Months,Yes,20.57915471,105.5666125,Low_spent_Small_value_payments,298.7172328,1/3/2024
CUS_0x1098,20652.98_,1468.081667,7,5,21,2,"Auto Loan, and Payday Loan",24,10,8.58,8,Standard,1859.53,37.44110091,18 Years and 11 Months,NM,33.23835624,54.60338563,Low_spent_Small_value_payments,348.9664248,1/1/2025
CUS_0x109b,31641.93,2610.8275,4,6,7,3,"Personal Loan, Student Loan, and Personal Loan",25,12,3.37,1,Standard,583.6,40.34938872,20 Years and 5 Months,No,60.33629927,84.09047926,Low_spent_Small_value_payments,344.6589324,1/10/2023
CUS_0x109d,49140.87,4377.0725,10,6,27,6,"Not Specified, Not Specified, Mortgage Loan, Mortgage Loan, Payday Loan, and Payday Loan",35,18,16.66,11,Bad,2950.8,31.16378562,6 Years and 6 Months,NM,154.1724263,301.5937949,Low_spent_Small_value_payments,271.9410288,1/4/2024
CUS_0x109f,130435.86,10623.655,4,846,9,2,"Home Equity Loan, and Home Equity Loan",13,1,12.85,0,Good,942.71,34.78470398,29 Years and 11 Months,NM,188.1861332,1070.730679,Low_spent_Medium_value_payments,81.141936,1/1/2025
CUS_0x10a9,17603.265,1324.945978,8,6,4,0,,9,12,10.27,4,_,836.66,41.7925525,15 Years and 9 Months,No,102.9927716,20.63448929,High_spent_Large_value_payments,362.1593857,1/10/2024
CUS_0x10aa,114432.03,9272.0025,1,2,7,0,,9,9,7.98,4,Good,444.51,39.0147841,21 Years and 6 Months,No,0,101.6493026,High_spent_Large_value_payments,1065.550947,1/2/2023
CUS_0x10ac,16718.645,1270.220417,7,3,15,4,"Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, and Debt Consolidation Loan",26,11,18.45,1,_,853.41,31.39733884,16 Years and 3 Months,No,50.9619359,36.41309208,!@9#%8,319.6470137,1/8/2024
CUS_0x10b3,136150.6,11127.88333,1,5,9,3,"Student Loan, Student Loan, and Auto Loan",10,3,10.72,3,_,260.29,35.95859451,27 Years and 4 Months,NM,177.6540722,1302.357431,Low_spent_Small_value_payments,898.3588009,1/11/2024
CUS_0x10b6,5691341,1712.969167,7,3,19,3,"Payday Loan, Credit-Builder Loan, and Debt Consolidation Loan",6,12,1.23,1,Standard,277.93,40.27854126,18 Years and 4 Months,No,37.99637813,65.37216415,High_spent_Small_value_payments,327.9283744,1/1/2025
CUS_0x10bb,60830.92,5044.243333,0,1,11,4,"Payday Loan, Home Equity Loan, Auto Loan, and Debt Consolidation Loan",14,3,7.41,0,_,133.63,38.71229772,23 Years and 10 Months,No,159.799347,404.0458181,Low_spent_Small_value_payments,230.5791683,1/3/2023
CUS_0x10c0,49454.13,4328.1775,8,5,23,2_,"Payday Loan, and Auto Loan",59,23,4.95,8,Bad,1388.56,28.97842663,13 Years and 4 Months,NM,73.34635945,148.5406576,Low_spent_Medium_value_payments,459.0780762,1/2/2024
CUS_0x10c5,158623.16,13180.59667,2,7,10,1,Payday Loan,10,5,6.04,0,Good,1134.83,41.79680012,30 Years and 2 Months,No,91.03390498,282.7186891,High_spent_Medium_value_payments,1194.307073,1/8/2024
CUS_0x10d7,15968.14,1380.678333,7,7,21,9,"Personal Loan, Auto Loan, Mortgage Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Student Loan, Personal Loan, and Personal Loan",37,21,17.26,14,Bad,4912.8,39.89441607,12 Years and 4 Months,Yes,77.99711822,128.5986713,Low_spent_Medium_value_payments,211.4720438,1/12/2023
CUS_0x10dd,105645.6,9090.8,4,3,5,4,"Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan",28,19,2.41,4,_,1336.91,40.45548153,21 Years and 4 Months,No,315.4061006,170.8991872,High_spent_Large_value_payments,662.7747121,1/6/2024
CUS_0x10df,9929.235,828.43625,4,8,23,3,"Not Specified, Auto Loan, and Student Loan",16,18_,11.5,14,Standard,2328.08,36.50926646,7 Years and 2 Months,Yes,18.12096644,74.96443136,Low_spent_Small_value_payments,260.9159335,1/11/2024
CUS_0x10e2,43133.85,3432.4875,10,10,31,7,"Personal Loan, Auto Loan, Not Specified, Home Equity Loan, Home Equity Loan, Credit-Builder Loan, and Credit-Builder Loan",43,24,6.41,11,Bad,2504.1,27.11586056,10 Years and 9 Months,Yes,151.287255,67.89250966,High_spent_Large_value_payments,364.0689854,1/1/2025
CUS_0x10e7,64933.76,5368.146667,3,3,33,-100,"Mortgage Loan, Auto Loan, Home Equity Loan, and Debt Consolidation Loan",15,19,13.04,11,Standard,2699.17_,24.9586382,14 Years and 4 Months,Yes,193.6925821,186.1466654,High_spent_Medium_value_payments,406.9754192,1/11/2024
CUS_0x10eb,28315.95_,2415.6625,4,7,10,2_,"Student Loan, and Payday Loan",8,8,10.34,4,Good,677.4,26.9123235,20 Years and 5 Months,No,30.23099627,133.048835,Low_spent_Small_value_payments,368.2864188,1/3/2023
CUS_0x10ee,12660.16,909.0133333,5,7,15,0,,8,14,15.1,2,Standard,456.02,33.46263116,25 Years and 4 Months,No,0,__10000__,!@9#%8,338.2549367,1/6/2023
CUS_0x10f9,150131.68,11102.13532,5,1,4,0,,8,0,7.49,0,Good,1138.36,45.2558067,31 Years and 11 Months,No,1494.838012,180.7591381,High_spent_Medium_value_payments,1328.938195,1/5/2023
CUS_0x10fd,39576.59,3199.049167,0,7,2,4,"Personal Loan, Mortgage Loan, Home Equity Loan, and Home Equity Loan",14,4,4.62,3,_,226.37,29.32616604,19 Years and 11 Months,No,124.3108391,104.7631642,High_spent_Medium_value_payments,340.8309134,1/12/2023
CUS_0x10ff,16341.075,1292.75625,4,4,6,2,"Auto Loan, and Student Loan",8,20,_,4,Standard,684.05,39.40519544,17 Years and 1 Months,No,16.96046046,151.9541276,Low_spent_Small_value_payments,250.3610369,1/10/2023
CUS_0x1100,43062.54_,3607.545,6,10,23,2,"Mortgage Loan, and Student Loan",55,20,19.05,13,Standard,2169.75,30.04262297,15 Years and 3 Months,Yes,47.49981874,71.94658529,High_spent_Medium_value_payments,491.308096,1/10/2023
CUS_0x1107,28952.76,2338.73,7,9,21,8,"Personal Loan, Credit-Builder Loan, Personal Loan, Credit-Builder Loan, Credit-Builder Loan, Debt Consolidation Loan, Credit-Builder Loan, and Not Specified",38,25,2.46,16,Bad,2717.85,28.62953826,1 Years and 2 Months,Yes,155.779989,56.77780418,!@9#%8,261.3152068,1/11/2023
CUS_0x1108,117499.47,9780.6225,4,5,8,0,,10,8,8.32,4,Good,337.9,30.61812257,30 Years and 8 Months,No,0,334.3979771,Low_spent_Medium_value_payments,923.6642729,1/7/2024
CUS_0x1109,76284.72,6451.06,6,10,18,6,"Home Equity Loan, Credit-Builder Loan, Auto Loan, Not Specified, Payday Loan, and Mortgage Loan",24,12,6.69,11,Standard,1957.32,29.36443367,20 Years and 1 Months,Yes,222.9590023,163.6494692,High_spent_Medium_value_payments,508.4975285,1/6/2024
CUS_0x1119,56301.9,4593.825,9,5,26,2,"Not Specified, and Not Specified",15,18,14.73,14,_,2161.23,37.38149611,14 Years and 6 Months,Yes,50.11934809,310.8444404,Low_spent_Medium_value_payments,378.4187115,1/5/2023
CUS_0x111b,70277.22,5633.435,3,6,7,3,"Not Specified, Not Specified, and Home Equity Loan",5,9,4.05,7,Good,762.48,36.53293818,20 Years and 6 Months,No,149.9341064,496.7911909,Low_spent_Large_value_payments,186.6182027,1/10/2024
CUS_0x111c,71809.76,6168.146667,7,7,17,8,"Debt Consolidation Loan, Not Specified, Home Equity Loan, Auto Loan, Home Equity Loan, Payday Loan, Mortgage Loan, and Personal Loan",52,15,1.58,7,_,4439.92,34.46230521,6 Years and 11 Months,Yes,297.917684,91.85936581,High_spent_Large_value_payments,467.0376168,1/3/2024
CUS_0x1123,15264.98,1266.081667,6,5,34,3,"Home Equity Loan, Credit-Builder Loan, and Auto Loan",23,14,9.68,14,Bad,2375.88,24.09434406,8 Years and 10 Months,Yes,50563,136.9520227,Low_spent_Small_value_payments,242.8660473,1/10/2024
CUS_0x112d,14728.21,1480.350833,10,9,31,-100,"Payday Loan, Personal Loan, Not Specified, Not Specified, and Personal Loan",49,11,9.27,7,_,2390.37,31.9660177,16 Years and 11 Months,Yes,41.58565128,103.2308183,Low_spent_Small_value_payments,311.1973087,1/3/2024
CUS_0x112e,20162.26,1872.188333,8,4,11,4_,"Home Equity Loan, Home Equity Loan, Personal Loan, and Auto Loan",13,10,1.71,2,Standard,660.26,34.4970261,19 Years and 9 Months,No,66.24488172,209.3396867,Low_spent_Small_value_payments,201.6342649,1/4/2024
CUS_0x112f,75506.42,6050.201667,1,4,5,1,Auto Loan,1,2,3.44,7,Good,1069.19,39.8489185,23 Years and 8 Months,No,60.90364323,278.2980759,Low_spent_Small_value_payments,555.8184476,1/10/2023
CUS_0x1130,137798.88,10609.79191,6,726,13,0,,23,12,9.25,2,Standard,1056.3,30.05431056,27 Years and 5 Months,No,988.4480914,1156.953783,Low_spent_Medium_value_payments,282.8702173,1/7/2023
CUS_0x1132,46268.4,3983.7,5,4,20,4_,"Student Loan, Debt Consolidation Loan, Student Loan, and Home Equity Loan",27,17,9.58,9,_,1447.57,30.4572227,14 Years and 0 Months,Yes,103.7780501,230.9491538,High_spent_Small_value_payments,323.6427961,1/3/2023
CUS_0x1134,15279.545,1517.791627,0,5,8,3,"Credit-Builder Loan, Mortgage Loan, and Debt Consolidation Loan",1,4,6.99,7,Good,168.35,27.60211956,30 Years and 10 Months,No,76.53930322,17.68009949,!@9#%8,349.8139285,1/10/2023
CUS_0x1135,83358.3,6896.525,5,3,5,3,"Auto Loan, Not Specified, and Auto Loan",6,6,2.66,7,_,727.88,24.2042601,30 Years and 10 Months,No,169.9360048,243.0365277,High_spent_Medium_value_payments,526.6799675,1/3/2023
CUS_0x1136,37360.94,2864.411667,10,5,33,5,"Home Equity Loan, Auto Loan, Debt Consolidation Loan, Mortgage Loan, and Not Specified",44,12,_,11,Standard,1271.23,36.19634556,11 Years and 10 Months,Yes,93.34174657,254.4781039,Low_spent_Small_value_payments,228.6213162,1/6/2023
CUS_0x1138,154868.24,13051.68667,2,5,10,0,,14,3,4.16,6,Good,242.75,42.32006806,29 Years and 11 Months,No,0,759.5938773,!@9#%8,825.5747894,1/9/2024
CUS_0x1139,94991.82,8144.985,7,6,13,0,,18,16,24.45,6,_,1320.61,39.28777693,26 Years and 5 Months,Yes,0,105.98186,High_spent_Large_value_payments,948.51664,1/12/2023
CUS_0x113e,34476.68,2715.056667,6,7,24,8,"Personal Loan, Student Loan, Personal Loan, Mortgage Loan, Student Loan, Not Specified, Auto Loan, and Debt Consolidation Loan",36,17,4.48,11,Bad,1976.63,23.55350923,11 Years and 6 Months,Yes,171.1757589,__10000__,Low_spent_Medium_value_payments,147.5573813,1/2/2023
CUS_0x1140,14532812,914.15,6,10,28,6,"Credit-Builder Loan, Debt Consolidation Loan, Personal Loan, Mortgage Loan, Payday Loan, and Auto Loan",18,19,27.01,14,Bad,4128.98,29.37085485,6 Years and 11 Months,Yes,24.90626336,80.86351181,Low_spent_Large_value_payments,255.6452248,1/2/2023
CUS_0x1144,135851.24,11418.93667,4,4,18,2,"Home Equity Loan, and Auto Loan",28,19,11.19,13,Standard,695.12,32.63187455,25 Years and 2 Months,Yes,206.5571936,1139.083737,Low_spent_Medium_value_payments,76.25273595,1/11/2024
CUS_0x1145,17975.32,1444.943333,6,5,32,9,"Student Loan, Payday Loan, Not Specified, Mortgage Loan, Home Equity Loan, Payday Loan, Payday Loan, Not Specified, and Credit-Builder Loan",61,25,8.9,13,Bad,1263.1,25.68179803,12 Years and 5 Months,Yes,76.45032459,176.7762101,Low_spent_Small_value_payments,181.2677987,1/8/2024
CUS_0x114a,15305.46,1230.455,0,7,2,2,"Student Loan, and Home Equity Loan",14,2,15.95,0,Good,642.42_,27.52511298,15 Years and 9 Months,No,20.30165387,64.77848008,Low_spent_Small_value_payments,327.9653661,1/1/2023
CUS_0x114b,107118.96,9104.58,5,7,5,3,"Payday Loan, Auto Loan, and Not Specified",24,8,10.49,3,Standard,1049.33,29.11156057,30 Years and 10 Months,Yes,53636,815.4767929,Low_spent_Medium_value_payments,235.4152173,1/1/2025
CUS_0x1151,17692.27,1335.355833,6,5,29,6,"Payday Loan, Auto Loan, Home Equity Loan, Auto Loan, Personal Loan, and Auto Loan",35,25,28.12,9,Bad,3762.64,24.55496971,11 Years and 5 Months,Yes,78.44723488,167.441385,Low_spent_Small_value_payments,177.6469634,1/10/2024
CUS_0x1152,31316.47,2510.705833,0,2,6,2,"Payday Loan, and Personal Loan",13,5,5.44,1,Good,800.89,36.45165605,18 Years and 6 Months,No,26959,124.9767884,High_spent_Small_value_payments,355.2718152,1/11/2024
CUS_0x1154,7645.095_,632.09125,9,9,19,5,"Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, Credit-Builder Loan, and Payday Loan",42,18,21.14,10,Bad,2869.83,24.63934638,12 Years and 2 Months,Yes,17.48785105,48.62391276,Low_spent_Small_value_payments,287.0973612,1/6/2023
CUS_0x1155,158483.48,12927.95667,2,1,1508,3,"Home Equity Loan, Payday Loan, and Personal Loan",1,3,2.65,1442,Good,471.82,31.46285963,28 Years and 3 Months,NM,347.5354596,870.8001477,Low_spent_Large_value_payments,344.4600594,1/2/2023
CUS_0x1156,10060.015,1103.334583,3,9,17,6,"Student Loan, Student Loan, Home Equity Loan, Not Specified, Debt Consolidation Loan, and Payday Loan",18,12,9.29,15,Standard,1971.81,26.65609994,10 Years and 10 Months,Yes,32.28432277,72.275562,High_spent_Small_value_payments,265.7735736,1/6/2023
CUS_0x115c,41695.76,3401.646667,6,7,15,9,"Not Specified, Credit-Builder Loan, Mortgage Loan, Credit-Builder Loan, Credit-Builder Loan, Student Loan, Mortgage Loan, Debt Consolidation Loan, and Mortgage Loan",24,20_,31.99,8,Bad,4453.51,26.69776846,8 Years and 6 Months,NM,302.8057257,85.68416843,Low_spent_Large_value_payments,221.6747725,1/2/2024
CUS_0x1168,76440.52,6647.043333,0,4,9,2,"Mortgage Loan, and Student Loan",7,2,10.85,4,Good,998.47,36.40236238,20 Years and 9 Months,No,96.74970979,547.8585913,Low_spent_Medium_value_payments,300.0960323,1/10/2023
CUS_0x1169,115324.62,9772.385,2,5,8,4,"Credit-Builder Loan, Payday Loan, Student Loan, and Student Loan",9,6,5.5,3,Good,1316.45,40.50639548,23 Years and 11 Months,No,199.2512598,380.2486072,High_spent_Small_value_payments,657.738633,1/9/2023
CUS_0x117d,70779.18,5861.265,1,4,9,4,"Student Loan, Student Loan, Not Specified, and Debt Consolidation Loan",14,-2,3.61,4,Good,1340.31,25.85637803,21 Years and 5 Months,No,131.3483116,300.6020796,High_spent_Small_value_payments,414.1761088,1/9/2023
CUS_0x117f,93847.86_,7599.655,3,4,12,3,"Mortgage Loan, Credit-Builder Loan, and Home Equity Loan",14,10,11.52,5,Standard,1405.22,28.96635605,16 Years and 5 Months,No,196.7267019,522.5572279,Low_spent_Large_value_payments,310.6815702,1/11/2023
CUS_0x1182,176696.88,13780.77464,5,7,12,4,"Debt Consolidation Loan, Home Equity Loan, Payday Loan, and Not Specified",4,8,4.01,6,Good,433.68,41.77011217,17 Years and 2 Months,No,1169.809116,320.0541318,High_spent_Large_value_payments,1022.736843,1/9/2023
CUS_0x1183,134393.73,10944.4775,1,3,12,2,"Credit-Builder Loan, and Mortgage Loan",13,-1,11.49,3,Good,945.29,34.95128259,25 Years and 8 Months,No,136.0306305,178.1009964,High_spent_Medium_value_payments,1030.316123,1/4/2024
CUS_0x1184,19867.475,1396.622917,3,5,11,3,"Student Loan, Mortgage Loan, and Payday Loan",10,9,6.74,4,Good,707.29,26.68978981,32 Years and 8 Months,No,42.60688196,23.46094404,!@9#%8,313.5944657,1/1/2023
CUS_0x1185,18963.65,1794.304167,4,8,29,6,"Student Loan, Payday Loan, Not Specified, Credit-Builder Loan, Personal Loan, and Debt Consolidation Loan",27,7,13.04,11,Standard,2422.18,26.01558081,7 Years and 0 Months,Yes,64.12529497,60.75560556,High_spent_Medium_value_payments,304.5495161,1/5/2024
CUS_0x1190,44134.06,3182.481695,4,4,9,3,"Personal Loan, Auto Loan, and Student Loan",29,19,0.9,5,Good,809.59,33.94352557,23 Years and 5 Months,NM,551.2715539,97.11016167,Low_spent_Large_value_payments,467.1587557,1/5/2024
CUS_0x1192,16319.375,1518.947917,7,3,1,2,"Payday Loan, and Payday Loan",16,13,7.67,9,Standard,1275.32,31.40444597,23 Years and 9 Months,NM,16.29112882,112.3398676,Low_spent_Medium_value_payments,303.2637953,1/5/2023
CUS_0x1193,31877.72,2571.476667,2,5,20,1,Credit-Builder Loan,29,13,4.46,4,Standard,886.59,28.72954071,25 Years and 3 Months,NM,21.79437525,82.33899418,High_spent_Medium_value_payments,403.0142972,1/10/2024
CUS_0x1195,30429.91,2808.825833,4,6,16,2,"Auto Loan, and Auto Loan",22,17,1.67,1549,Standard,362.48,33.34905039,28 Years and 11 Months,No,29.91407646,82.87878578,Low_spent_Large_value_payments,438.0897211,1/12/2024
CUS_0x1197,92300.01,7437.6675,2,4,11,3,"Credit-Builder Loan, Not Specified, and Credit-Builder Loan",27,9,18.96,2,_,755.17_,26.98978682,18 Years and 11 Months,Yes,49236,220.8621525,Low_spent_Large_value_payments,581.1567885,1/12/2024
CUS_0x119e,63601.48,5400.123333,3,7,15,6,"Auto Loan, Mortgage Loan, Student Loan, Home Equity Loan, Auto Loan, and Not Specified",26,13,19.49,6,Standard,1191.91,25.704062,19 Years and 9 Months,Yes,184.6916346,121.5170424,High_spent_Large_value_payments,473.8036564,1/6/2023
CUS_0x11a4,44295.54,3677.295,8,6,30,2,"Credit-Builder Loan, and Student Loan",38,21,8.96,8,Standard,1280.42,37.28447193,12 Years and 9 Months,Yes,65.57597408,74.61308705,High_spent_Medium_value_payments,477.5404389,1/11/2023
CUS_0x11ac,69136.54,5902.378333,3,4,14,0,,14,18,7.18,3,Standard,478.85,32.10316372,17 Years and 5 Months,Yes,0,435.9370015,Low_spent_Small_value_payments,444.3008318,1/8/2024
